car_model,car_brand,car_full_name,registration_year,km_to_date,sale_price,fuel_type,transmission_type,sale_picture_link
polo,vw,vw polo,2016,169347,11990,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijlxdgzkeg5wetvxnditu1revlrmufqifq.ujlff0grhkzkjg3n0ay6weer9tdkaymic_pwvt3tqtu/image;s=320x240
clio,renault,renault clio 1.0 tce intens,2022,25232,17990,gasolina,manual,none
clio,renault,renault clio sport tourer 1.5 dci luxe,2014,235087,8990,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6iml2bdvuadbkmwn6odmtu1revlrmufqifq.p_gq3bzpa1k5oidyxlt6pnzotaxnt1n1lkpth0phdnw/image;s=320x240
clio,renault,renault clio 1.5 blue dci zen,2020,104944,16500,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijgxbxnsodfqbmxwbzmtu1revlrmufqifq.seasceucu_btsmgq3o9cjhmthsqbg8fkjtufkjkda_m/image;s=320x240
clio,renault,renault clio sport tourer 1.5 dci limited,2018,223192,12490,diesel,manual,none
clio,renault,renault clio sport tourer 1.5 dci zen,2017,124000,12500,diesel,manual,none
clio,renault,renault clio,2007,253200,14499,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijkxewjzmw5ymxozdc1tverwvexqvcj9.7x3hthxn6fhb7prntslatm9fc-xzmc8_hnaldpnbbk4/image;s=320x240
clio,renault,renault clio sport tourer 1.5 dci dynamique s,2017,139699,12250,diesel,manual,none
clio,renault,renault clio sport tourer 1.5 dci zen,2016,133000,11990,diesel,manual,none
clio,renault,renault clio,2021,51000,16900,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imr6bxnmagxzenp4cjetu1revlrmufqifq.ttzef1oh9pfxmjmfkl1cwt087bjpfjatzckhy2ecs5u/image;s=320x240
clio,renault,renault clio 0.9 tce confort,2013,190000,8490,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijf4ajuzndcwm2puni1tverwvexqvcj9.nxivdogztwulytw2jjzmx4ltrifwxoyqroxhjz-xoje/image;s=320x240
clio,renault,renault clio 1.0 tce exclusive,2020,80184,15740,gasolina,manual,none
polo,vw,vw polo 1.6 tdi trendline,2018,108245,14990,diesel,manual,none
clio,renault,renault clio 0.9 tce limited,2019,49327,13990,gasolina,manual,none
clio,renault,renault clio 0.9 tce limited,2019,61000,15990,gasolina,manual,none
clio,renault,renault clio 0.9 tce limited,2019,103000,14490,gasolina,manual,none
polo,vw,vw polo 1.0 tsi confortline,2022,29108,22000,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6injjb3nzognxcjnmzy1tverwvexqvcj9.jcmt9wrdsb_u6e9zxztkoobwc4j8mczsgttrmgjnz9i/image;s=320x240
clio,renault,renault clio 1.5 blue dci intens,2019,123798,15900,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imewyxnxmgrpchzubs1tverwvexqvcj9.5a-4vz6ouqzabmgmod9h1gc8s-hfrshfc2ljkpr6brq/image;s=320x240
polo,vw,vw polo 1.0 trendline,2018,69033,14400,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inmzznn4n2vjowvvcjetu1revlrmufqifq.0y-3zaotp0hykka3pxmts-6lxjhto-hhuhy6khqc9ia/image;s=320x240
clio,renault,renault clio 1.5 dci zen,2018,160000,10900,diesel,manual,none
polo,vw,vw polo 1.0 tsi dsg comfortline,2019,125000,16900,gasolina,automatica,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imw0m2cwejfzagdudtitu1revlrmufqifq.wimu5urep5gwkmf-dn4behofo8v0ejfs4xzok4xoaw0/image;s=320x240
clio,renault,renault clio 1.5 dci luxe,2017,84000,13990,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inv6nja3ngjma3zmbzetu1revlrmufqifq.r8mudrfzh8sqj4tvfzmfimoodfjvkpmqjfvhlae9ruw/image;s=320x240
polo,vw,vw polo 1.0 tsi highline,2018,68968,16950,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inljbtzxzdjhehb3ctmtu1revlrmufqifq.tclepeaohii6yqceurlsf-vza5epwv-wpefunr8ibca/image;s=320x240
clio,renault,renault clio 1.5 dci limited edition,2018,113000,14990,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijrnnni4b3b6ags2bzitu1revlrmufqifq.r_oopobzzdgknho_1opnosark0vwwii4qy-cfrnmwzs/image;s=320x240
clio,renault,renault clio sce 75 experience,2021,75000,14490,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imzycgo4cjz4emnznjitu1revlrmufqifq.b2ou7squy6g1pt31jwimyelbzv0bvdmbnxgqawzam7k/image;s=320x240
clio,renault,renault clio,2019,86000,12990,gasolina,manual,none
clio,renault,renault clio 1.0 tce intens,2020,79178,15990,gasolina,manual,none
