car_model,car_brand,car_full_name,registration_year,km_to_date,sale_price,fuel_type,transmission_type,sale_picture_link,car_age,km_age_ratio
c3,citroen,citroen c3 1.4 hdi seduction,2015,159000,8999,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imn6ajbidzuxnxrkodmtu1revlrmufqifq.ugf28bhs9oscgsysmkveqousknjwjt-8hdqxtvtw7pu/image;s=320x240,8,19875.0
c3,citroen,citroen c3 1.2 puretech shine,2019,55145,17900,gasolina,manual,none,4,13786.25
a1,audi,audi a1 sportback 1.0 tfsi sport,2015,121507,15900,gasolina,manual,none,8,15188.375
c3,citroen,citroen c3 aircross 1.2 puretech feel,2018,53453,16300,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imnom28zcddjehbtoc1tverwvexqvcj9.g8nh_fkhdbhrcpm7pglf2dcxc4tsemtfsxo8rsdlhrw/image;s=320x240,5,10690.6
c3,citroen,citroen c3 1.2 vti exclusive,2014,133680,10900,gasolina,manual,none,9,14853.333333333334
c3,citroen,citroen c3 aircross 1.6 bluehdi shine,2018,162000,16900,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inc4ywzzawo2dg92bc1tverwvexqvcj9.usbvaeqabx12tndzynnwzjw0vpo9ynrkfrlt_8njnxi/image;s=320x240,5,32400.0
c3,citroen,citroen c3 aircross 1.2 puretech c-series,2022,15030,20240,gasolina,manual,none,1,15030.0
c3,citroen,citroen c3 aircross 1.5 bluehdi c-series s&s,2021,23987,22900,diesel,manual,none,2,11993.5
a1,audi,audi a1 sportback 1.6 tdi s line edition,2014,109000,16500,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inliczrmym8ybwq4bzitu1revlrmufqifq.6lz75l4is5o8r2vzio5yjl094ncoxzjt0ijblrklq_c/image;s=320x240,9,12111.111111111111
c3,citroen,citroen c3 1.2 puretech c-series,2022,44778,17750,gasolina,manual,none,1,44778.0
c3,citroen,citroen c3 1.2 puretech c-series,2023,10784,18390,gasolina,manual,none,0,inf
c3,citroen,citroen c3 aircross 1.2 puretech c-series,2023,12339,19900,gasolina,manual,none,0,inf
c3,citroen,citroen c3 1.2 puretech shine,2022,13599,16880,gasolina,manual,none,1,13599.0
c3,citroen,citroen c3 1.2 puretech elle,2018,58795,14850,gasolina,manual,none,5,11759.0
c3,citroen,citroen c3,2020,63930,14750,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inzxcjrsndlhdncwos1tverwvexqvcj9.ot6xyx_yrhk6nqvvpgrxpubnp8cktx7cty3k_lq-n0o/image;s=320x240,3,21310.0
c3,citroen,citroen c3 aircross 1.2 puretech c-series,2022,19428,19500,gasolina,manual,none,1,19428.0
c3,citroen,citroen c3 aircross 1.2 puretech c-series,2023,10479,19500,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6infiddrmyw9rbmm2bzetu1revlrmufqifq.laahtug5ql16aeyg1gxt5oojnf-piopbhud0bgxbc6c/image;s=320x240,0,inf
c3,citroen,citroen c3 1.5 bluehdi shine,2023,7013,21480,diesel,manual,none,0,inf
c3,citroen,citroen c3 1.4 hdi attraction,2015,130000,9900,diesel,manual,none,8,16250.0
c3,citroen,citroen c3 aircross 1.2 puretech shine,2023,2094,21900,gasolina,manual,none,0,inf
c3,citroen,citroen c3 aircross 1.6 bluehdi shine,2018,128000,16990,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inn5nnnlmtz1nwxlatmtu1revlrmufqifq.xa52eolfw9pmk8edrh_0v81a7oycdfmrsxgu6pychqa/image;s=320x240,5,25600.0
c3,citroen,citroen c3 1.2 puretech feel,2020,78000,12900,gasolina,manual,none,3,26000.0
c3,citroen,citroen c3 1.2 puretech shine,2022,20286,15980,gasolina,manual,none,1,20286.0
c3,citroen,citroen c3 1.2 puretech shine,2022,15350,16780,gasolina,manual,none,1,15350.0
